,borough,school_dist,Age04_10,Age11_13,Age14_17,ppsrdate,version,monthyear
0,Bronx,12,0.27,0.12,0.13,2024-01-12,5,2024-01
1,Bronx,11,0.24,0.11,0.13,2024-01-12,5,2024-01
2,Bronx,10,0.21,0.08,0.13,2024-01-12,5,2024-01
3,Bronx,9,0.22,0.09,0.13,2024-01-12,5,2024-01
4,Bronx,8,0.2,0.09,0.13,2024-01-12,5,2024-01
5,Bronx,7,0.23,0.08,0.13,2024-01-12,5,2024-01
6,Manhattan,6,0.07,0.02,0.02,2024-01-12,5,2024-01
7,Manhattan,5,0.09,0.03,0.02,2024-01-12,5,2024-01
8,Manhattan,4,0.07,0.03,0.02,2024-01-12,5,2024-01
9,Manhattan,3,0.04,0.01,0.02,2024-01-12,5,2024-01
10,Manhattan,2,0.04,0.01,0.02,2024-01-12,5,2024-01
11,Manhattan,1,0.04,0.01,0.02,2024-01-12,5,2024-01
12,Staten Island,31,0.25,0.08,0.09,2024-01-12,5,2024-01
13,Queens,30,0.11,0.04,0.1,2024-01-12,5,2024-01
14,Queens,29,0.33,0.14,0.1,2024-01-12,5,2024-01
15,Queens,28,0.22,0.08,0.1,2024-01-12,5,2024-01
16,Queens,27,0.17,0.07,0.1,2024-01-12,5,2024-01
17,Queens,26,0.29,0.13,0.1,2024-01-12,5,2024-01
18,Queens,25,0.22,0.07,0.1,2024-01-12,5,2024-01
19,Queens,24,0.38,0.13,0.1,2024-01-12,5,2024-01
20,Brooklyn,32,0.09,0.04,0.05,2024-01-12,5,2024-01
21,Brooklyn,23,0.14,0.06,0.05,2024-01-12,5,2024-01
22,Brooklyn,22,0.15,0.05,0.05,2024-01-12,5,2024-01
23,Brooklyn,21,0.14,0.05,0.05,2024-01-12,5,2024-01
24,Brooklyn,20,0.19,0.07,0.05,2024-01-12,5,2024-01
25,Brooklyn,19,0.18,0.08,0.05,2024-01-12,5,2024-01
26,Brooklyn,18,0.13,0.08,0.05,2024-01-12,5,2024-01
