,Unnamed: 0,borough,school_dist,Age04_10,Age11_13,Age14_17,ppsrdate,version,monthyear
0,0,Bronx,12,0.27,0.12,0.13,2024-01-12,5,2024-01
1,1,Bronx,11,0.24,0.11,0.13,2024-01-12,5,2024-01
2,2,Bronx,10,0.21,0.08,0.13,2024-01-12,5,2024-01
3,3,Bronx,9,0.22,0.09,0.13,2024-01-12,5,2024-01
4,4,Bronx,8,0.2,0.09,0.13,2024-01-12,5,2024-01
5,5,Bronx,7,0.23,0.08,0.13,2024-01-12,5,2024-01
6,6,Manhattan,6,0.07,0.02,0.02,2024-01-12,5,2024-01
7,7,Manhattan,5,0.09,0.03,0.02,2024-01-12,5,2024-01
8,8,Manhattan,4,0.07,0.03,0.02,2024-01-12,5,2024-01
9,9,Manhattan,3,0.04,0.01,0.02,2024-01-12,5,2024-01
10,10,Manhattan,2,0.04,0.01,0.02,2024-01-12,5,2024-01
11,11,Manhattan,1,0.04,0.01,0.02,2024-01-12,5,2024-01
12,12,Staten Island,31,0.25,0.08,0.09,2024-01-12,5,2024-01
13,13,Queens,30,0.11,0.04,0.1,2024-01-12,5,2024-01
14,14,Queens,29,0.33,0.14,0.1,2024-01-12,5,2024-01
15,15,Queens,28,0.22,0.08,0.1,2024-01-12,5,2024-01
16,16,Queens,27,0.17,0.07,0.1,2024-01-12,5,2024-01
17,17,Queens,26,0.29,0.13,0.1,2024-01-12,5,2024-01
18,18,Queens,25,0.22,0.07,0.1,2024-01-12,5,2024-01
19,19,Queens,24,0.38,0.13,0.1,2024-01-12,5,2024-01
20,20,Brooklyn,32,0.09,0.04,0.05,2024-01-12,5,2024-01
21,21,Brooklyn,23,0.14,0.06,0.05,2024-01-12,5,2024-01
22,22,Brooklyn,22,0.15,0.05,0.05,2024-01-12,5,2024-01
23,23,Brooklyn,21,0.14,0.05,0.05,2024-01-12,5,2024-01
24,24,Brooklyn,20,0.19,0.07,0.05,2024-01-12,5,2024-01
25,25,Brooklyn,19,0.18,0.08,0.05,2024-01-12,5,2024-01
26,26,Brooklyn,18,0.13,0.08,0.05,2024-01-12,5,2024-01
27,27,Brooklyn,17,0.08,0.02,0.05,2024-01-12,5,2024-01
28,28,Brooklyn,16,0.09,0.04,0.05,2024-01-12,5,2024-01
29,29,Brooklyn,15,0.17,0.04,0.05,2024-01-12,5,2024-01
30,30,Brooklyn,14,0.04,0.01,0.05,2024-01-12,5,2024-01
31,31,Brooklyn,13,0.05,0.01,0.05,2024-01-12,5,2024-01
32,32,Brooklyn,22,0.15,0.05,0.05,2023-01-05,4,2023-01
33,33,Staten Island,31,0.25,0.08,0.09,2023-01-05,4,2023-01
34,34,Queens,30,0.11,0.04,0.1,2023-01-05,4,2023-01
35,35,Queens,29,0.33,0.14,0.1,2023-01-05,4,2023-01
36,36,Queens,28,0.22,0.08,0.1,2023-01-05,4,2023-01
37,37,Queens,27,0.17,0.07,0.1,2023-01-05,4,2023-01
38,38,Brooklyn,21,0.14,0.05,0.05,2023-01-05,4,2023-01
39,39,Queens,26,0.29,0.13,0.1,2023-01-05,4,2023-01
40,40,Queens,25,0.22,0.07,0.1,2023-01-05,4,2023-01
41,41,Queens,24,0.38,0.13,0.1,2023-01-05,4,2023-01
42,42,Brooklyn,32,0.09,0.04,0.05,2023-01-05,4,2023-01
43,43,Brooklyn,23,0.14,0.06,0.05,2023-01-05,4,2023-01
44,44,Manhattan,1,0.04,0.01,0.02,2023-01-05,4,2023-01
45,45,Manhattan,2,0.04,0.01,0.02,2023-01-05,4,2023-01
46,46,Manhattan,3,0.04,0.01,0.02,2023-01-05,4,2023-01
47,47,Manhattan,4,0.07,0.03,0.02,2023-01-05,4,2023-01
48,48,Manhattan,5,0.09,0.03,0.02,2023-01-05,4,2023-01
49,49,Manhattan,6,0.07,0.02,0.02,2023-01-05,4,2023-01
50,50,Bronx,7,0.23,0.08,0.13,2023-01-05,4,2023-01
51,51,Bronx,8,0.2,0.09,0.13,2023-01-05,4,2023-01
52,52,Bronx,9,0.22,0.09,0.13,2023-01-05,4,2023-01
53,53,Bronx,10,0.21,0.08,0.13,2023-01-05,4,2023-01
54,54,Bronx,11,0.24,0.11,0.13,2023-01-05,4,2023-01
55,55,Bronx,12,0.27,0.12,0.13,2023-01-05,4,2023-01
56,56,Brooklyn,13,0.05,0.01,0.05,2023-01-05,4,2023-01
57,57,Brooklyn,14,0.04,0.01,0.05,2023-01-05,4,2023-01
58,58,Brooklyn,15,0.17,0.04,0.05,2023-01-05,4,2023-01
59,59,Brooklyn,16,0.09,0.04,0.05,2023-01-05,4,2023-01
60,60,Brooklyn,17,0.08,0.02,0.05,2023-01-05,4,2023-01
61,61,Brooklyn,18,0.13,0.08,0.05,2023-01-05,4,2023-01
