schoolstr,YM,max
31,2003-10,1049
27,2005-03,667
29,2007-01,480
14,2008-06,407
2,2016-06,385
19,2006-05,358
24,2005-12,357
25,2005-07,340
28,2006-03,332
12,1991-11,332
26,2005-12,318
20,2007-12,306
30,2016-04,298
11,2007-05,294
21,2007-12,254
22,2006-01,253
8,2004-08,252
13,2015-06,248
15,2018-03,240
32,2004-03,222
17,2015-12,188
7,1993-02,165
16,2005-03,159
23,2004-03,152
10,2007-04,130
5,2002-01,125
18,2006-01,98
9,2001-12,97
3,1999-04,97
1,1998-06,62
6,2004-06,54
4,2007-12,54
